iter 00041 | success 0.485 | cost 98.8 | policy_loss -0.00008 | value_loss 5330.65619 | Vmean -75.080 | Rmean -110.068 | Vrmse 102.936 | VexpVar 0.706 | adv_std 96.808 | elapsed 50.28s
iter 00042 | success 0.471 | cost 100.7 | policy_loss -0.00010 | value_loss 5053.02457 | Vmean -77.461 | Rmean -109.348 | Vrmse 100.424 | VexpVar 0.718 | adv_std 95.227 | elapsed 49.12s
iter 00043 | success 0.481 | cost 97.6 | policy_loss -0.00007 | value_loss 4664.70718 | Vmean -89.889 | Rmean -117.940 | Vrmse 95.581 | VexpVar 0.741 | adv_std 91.372 | elapsed 49.25s
iter 00044 | success 0.495 | cost 96.3 | policy_loss -0.00008 | value_loss 4415.10486 | Vmean -88.781 | Rmean -118.512 | Vrmse 93.825 | VexpVar 0.753 | adv_std 88.990 | elapsed 49.83s
iter 00045 | success 0.502 | cost 96.5 | policy_loss -0.00014 | value_loss 4435.80881 | Vmean -90.193 | Rmean -121.015 | Vrmse 93.699 | VexpVar 0.756 | adv_std 88.485 | elapsed 50.13s
iter 00046 | success 0.497 | cost 93.6 | policy_loss -0.00013 | value_loss 3885.67142 | Vmean -106.053 | Rmean -128.602 | Vrmse 87.842 | VexpVar 0.779 | adv_std 84.898 | elapsed 48.96s
iter 00047 | success 0.502 | cost 94.8 | policy_loss -0.00006 | value_loss 3881.89104 | Vmean -106.359 | Rmean -128.556 | Vrmse 87.690 | VexpVar 0.780 | adv_std 84.834 | elapsed 50.25s
iter 00048 | success 0.510 | cost 93.3 | policy_loss -0.00005 | value_loss 3602.18452 | Vmean -113.887 | Rmean -130.999 | Vrmse 84.077 | VexpVar 0.793 | adv_std 82.318 | elapsed 48.75s
iter 00049 | success 0.503 | cost 93.3 | policy_loss -0.00006 | value_loss 3351.11182 | Vmean -122.607 | Rmean -133.412 | Vrmse 81.592 | VexpVar 0.801 | adv_std 80.873 | elapsed 48.94s
iter 00050 | success 0.522 | cost 91.3 | policy_loss -0.00004 | value_loss 3252.42009 | Vmean -129.810 | Rmean -141.125 | Vrmse 79.888 | VexpVar 0.806 | adv_std 79.083 | elapsed 48.65s
iter 00051 | success 0.510 | cost 91.4 | policy_loss -0.00002 | value_loss 3252.77531 | Vmean -139.221 | Rmean -139.839 | Vrmse 79.474 | VexpVar 0.808 | adv_std 79.471 | elapsed 49.37s
iter 00052 | success 0.518 | cost 93.3 | policy_loss -0.00001 | value_loss 3128.40359 | Vmean -136.429 | Rmean -140.030 | Vrmse 78.703 | VexpVar 0.810 | adv_std 78.620 | elapsed 50.25s
iter 00053 | success 0.516 | cost 88.8 | policy_loss -0.00002 | value_loss 3090.04694 | Vmean -137.982 | Rmean -142.581 | Vrmse 78.031 | VexpVar 0.813 | adv_std 77.896 | elapsed 49.08s
iter 00054 | success 0.514 | cost 90.5 | policy_loss -0.00003 | value_loss 3133.82457 | Vmean -135.917 | Rmean -141.783 | Vrmse 78.677 | VexpVar 0.812 | adv_std 78.458 | elapsed 49.08s
iter 00055 | success 0.505 | cost 92.4 | policy_loss -0.00001 | value_loss 3103.27278 | Vmean -136.180 | Rmean -140.828 | Vrmse 78.125 | VexpVar 0.814 | adv_std 77.987 | elapsed 49.65s
iter 00056 | success 0.524 | cost 89.8 | policy_loss -0.00003 | value_loss 3075.40884 | Vmean -138.259 | Rmean -143.550 | Vrmse 77.830 | VexpVar 0.816 | adv_std 77.650 | elapsed 50.65s
iter 00057 | success 0.519 | cost 90.1 | policy_loss -0.00004 | value_loss 3126.74055 | Vmean -139.501 | Rmean -142.954 | Vrmse 78.664 | VexpVar 0.813 | adv_std 78.589 | elapsed 51.06s
iter 00058 | success 0.519 | cost 89.5 | policy_loss -0.00002 | value_loss 3076.87845 | Vmean -141.884 | Rmean -143.401 | Vrmse 77.437 | VexpVar 0.818 | adv_std 77.422 | elapsed 49.94s
iter 00059 | success 0.512 | cost 91.6 | policy_loss -0.00002 | value_loss 3057.35271 | Vmean -131.812 | Rmean -138.890 | Vrmse 77.819 | VexpVar 0.818 | adv_std 77.496 | elapsed 49.34s
iter 00060 | success 0.529 | cost 88.8 | policy_loss -0.00003 | value_loss 3033.45274 | Vmean -138.613 | Rmean -144.474 | Vrmse 76.261 | VexpVar 0.821 | adv_std 76.035 | elapsed 50.07s
iter 00061 | success 0.519 | cost 88.1 | policy_loss -0.00001 | value_loss 3002.70042 | Vmean -134.234 | Rmean -144.486 | Vrmse 77.198 | VexpVar 0.821 | adv_std 76.514 | elapsed 50.50s
iter 00062 | success 0.520 | cost 88.8 | policy_loss -0.00001 | value_loss 3018.38345 | Vmean -134.411 | Rmean -143.917 | Vrmse 77.368 | VexpVar 0.821 | adv_std 76.781 | elapsed 49.43s
iter 00063 | success 0.511 | cost 88.3 | policy_loss -0.00004 | value_loss 3102.00514 | Vmean -128.499 | Rmean -140.771 | Vrmse 78.248 | VexpVar 0.820 | adv_std 77.280 | elapsed 50.83s
iter 00064 | success 0.528 | cost 87.1 | policy_loss -0.00002 | value_loss 2924.76746 | Vmean -136.135 | Rmean -143.581 | Vrmse 75.948 | VexpVar 0.825 | adv_std 75.582 | elapsed 49.93s
iter 00065 | success 0.517 | cost 87.0 | policy_loss -0.00003 | value_loss 2939.07013 | Vmean -131.316 | Rmean -139.861 | Vrmse 76.314 | VexpVar 0.826 | adv_std 75.834 | elapsed 50.12s
iter 00066 | success 0.519 | cost 88.5 | policy_loss -0.00009 | value_loss 2972.76146 | Vmean -136.488 | Rmean -143.749 | Vrmse 76.721 | VexpVar 0.824 | adv_std 76.377 | elapsed 49.13s
iter 00067 | success 0.533 | cost 87.4 | policy_loss -0.00002 | value_loss 2840.94820 | Vmean -136.714 | Rmean -145.417 | Vrmse 75.097 | VexpVar 0.829 | adv_std 74.591 | elapsed 50.47s
iter 00068 | success 0.518 | cost 87.0 | policy_loss -0.00002 | value_loss 2871.12228 | Vmean -135.679 | Rmean -144.341 | Vrmse 75.283 | VexpVar 0.829 | adv_std 74.783 | elapsed 50.31s
iter 00069 | success 0.516 | cost 87.1 | policy_loss -0.00004 | value_loss 2923.51288 | Vmean -130.491 | Rmean -141.637 | Vrmse 75.960 | VexpVar 0.829 | adv_std 75.138 | elapsed 50.01s
iter 00070 | success 0.518 | cost 85.1 | policy_loss -0.00003 | value_loss 2876.23116 | Vmean -134.975 | Rmean -144.111 | Vrmse 75.205 | VexpVar 0.831 | adv_std 74.648 | elapsed 49.70s
iter 00071 | success 0.527 | cost 84.5 | policy_loss -0.00002 | value_loss 2848.57462 | Vmean -142.248 | Rmean -146.952 | Vrmse 74.868 | VexpVar 0.829 | adv_std 74.720 | elapsed 48.39s
iter 00072 | success 0.524 | cost 85.8 | policy_loss -0.00007 | value_loss 2858.37114 | Vmean -138.771 | Rmean -146.198 | Vrmse 74.653 | VexpVar 0.831 | adv_std 74.283 | elapsed 50.15s
iter 00073 | success 0.528 | cost 85.4 | policy_loss -0.00001 | value_loss 2809.46994 | Vmean -144.605 | Rmean -149.569 | Vrmse 74.562 | VexpVar 0.831 | adv_std 74.396 | elapsed 49.99s
iter 00074 | success 0.514 | cost 84.8 | policy_loss -0.00004 | value_loss 2867.95663 | Vmean -141.561 | Rmean -148.196 | Vrmse 74.425 | VexpVar 0.832 | adv_std 74.128 | elapsed 50.45s
iter 00075 | success 0.537 | cost 84.6 | policy_loss -0.00004 | value_loss 2946.65567 | Vmean -154.852 | Rmean -153.393 | Vrmse 74.265 | VexpVar 0.829 | adv_std 74.250 | elapsed 49.04s
iter 00076 | success 0.544 | cost 84.6 | policy_loss -0.00003 | value_loss 2747.74254 | Vmean -153.470 | Rmean -152.013 | Vrmse 73.780 | VexpVar 0.831 | adv_std 73.766 | elapsed 50.40s
iter 00077 | success 0.521 | cost 84.3 | policy_loss -0.00001 | value_loss 2915.57333 | Vmean -152.202 | Rmean -151.036 | Vrmse 74.855 | VexpVar 0.829 | adv_std 74.846 | elapsed 49.89s
iter 00078 | success 0.527 | cost 85.9 | policy_loss -0.00005 | value_loss 2857.09880 | Vmean -148.354 | Rmean -148.323 | Vrmse 74.442 | VexpVar 0.831 | adv_std 74.442 | elapsed 49.76s
iter 00079 | success 0.532 | cost 84.4 | policy_loss -0.00003 | value_loss 2800.94121 | Vmean -157.714 | Rmean -152.679 | Vrmse 74.622 | VexpVar 0.829 | adv_std 74.452 | elapsed 49.65s
iter 00080 | success 0.513 | cost 82.8 | policy_loss -0.00004 | value_loss 2805.97800 | Vmean -152.067 | Rmean -148.622 | Vrmse 74.774 | VexpVar 0.831 | adv_std 74.695 | elapsed 49.16s
iter 00081 | success 0.537 | cost 84.4 | policy_loss -0.00003 | value_loss 2769.86075 | Vmean -154.907 | Rmean -154.925 | Vrmse 74.259 | VexpVar 0.830 | adv_std 74.259 | elapsed 49.98s
iter 00082 | success 0.529 | cost 84.9 | policy_loss -0.00002 | value_loss 2824.60963 | Vmean -155.591 | Rmean -153.100 | Vrmse 74.374 | VexpVar 0.831 | adv_std 74.333 | elapsed 50.64s
iter 00083 | success 0.516 | cost 82.8 | policy_loss -0.00005 | value_loss 2926.98654 | Vmean -155.686 | Rmean -150.500 | Vrmse 75.126 | VexpVar 0.831 | adv_std 74.946 | elapsed 48.72s
iter 00084 | success 0.543 | cost 82.8 | policy_loss -0.00001 | value_loss 2810.04716 | Vmean -159.910 | Rmean -155.340 | Vrmse 73.259 | VexpVar 0.834 | adv_std 73.116 | elapsed 49.91s
iter 00085 | success 0.529 | cost 83.2 | policy_loss -0.00004 | value_loss 2794.43829 | Vmean -150.206 | Rmean -149.935 | Vrmse 73.976 | VexpVar 0.835 | adv_std 73.976 | elapsed 49.73s
iter 00086 | success 0.525 | cost 82.7 | policy_loss -0.00001 | value_loss 2900.67699 | Vmean -156.556 | Rmean -152.315 | Vrmse 74.292 | VexpVar 0.833 | adv_std 74.171 | elapsed 49.48s
iter 00087 | success 0.529 | cost 82.4 | policy_loss -0.00002 | value_loss 2669.76274 | Vmean -148.236 | Rmean -151.527 | Vrmse 72.674 | VexpVar 0.840 | adv_std 72.600 | elapsed 49.72s
iter 00088 | success 0.526 | cost 81.4 | policy_loss -0.00003 | value_loss 2682.02235 | Vmean -149.883 | Rmean -152.308 | Vrmse 72.716 | VexpVar 0.839 | adv_std 72.675 | elapsed 50.06s
