iter 00064 | success 0.043 | cost 55.2 | energy 504.0 | actor_loss 0.33085 | energy_loss 11.94359 | reach_loss 3487023720038.39990 | entropy 4.2568 | gamma_reach 0.999083 | ent_coef 0.00096 | elapsed 29.29s
iter 00065 | success 0.030 | cost 26.2 | energy 461.4 | actor_loss 0.32763 | energy_loss 16.41385 | reach_loss 1471966904320.00000 | entropy 4.2568 | gamma_reach 0.999084 | ent_coef 0.00096 | elapsed 29.36s
iter 00066 | success 0.040 | cost 62.1 | energy 569.9 | actor_loss 0.33472 | energy_loss 15.92185 | reach_loss 3022371379609.60010 | entropy 4.2568 | gamma_reach 0.999086 | ent_coef 0.00096 | elapsed 28.58s
iter 00067 | success 0.049 | cost 64.4 | energy 516.1 | actor_loss 0.34167 | energy_loss 15.68950 | reach_loss 2431447151411.20020 | entropy 4.2568 | gamma_reach 0.999087 | ent_coef 0.00096 | elapsed 28.38s
iter 00068 | success 0.026 | cost 32.6 | energy 438.1 | actor_loss 0.33236 | energy_loss 14.62378 | reach_loss 1776498165350.39990 | entropy 4.2568 | gamma_reach 0.999088 | ent_coef 0.00096 | elapsed 28.56s
iter 00069 | success 0.025 | cost 31.7 | energy 493.5 | actor_loss 0.34533 | energy_loss 14.42214 | reach_loss 2043274097459.19995 | entropy 4.2568 | gamma_reach 0.999090 | ent_coef 0.00095 | elapsed 28.54s
iter 00070 | success 0.029 | cost 31.6 | energy 455.7 | actor_loss 0.32505 | energy_loss 11.65102 | reach_loss 2170076225536.00000 | entropy 4.2568 | gamma_reach 0.999091 | ent_coef 0.00095 | elapsed 28.48s
debug 00070 | std_mean 1.0000 | std_min 1.0000 | std_max 1.0000 | done_mean 0.9951 | energy_min_ratio 0.9727 | energy_neg_ratio 0.9872 | v_reach [-1.267e+07, 2.750e+04] | t_reach [-7.676e+06, 1.020e+03] | adv_total_std 5.298e+03
iter 00071 | success 0.028 | cost 29.6 | energy 557.6 | actor_loss 0.32381 | energy_loss 17.08983 | reach_loss 2198998138880.00000 | entropy 4.2568 | gamma_reach 0.999092 | ent_coef 0.00095 | elapsed 28.59s
iter 00072 | success 0.026 | cost 30.0 | energy 493.2 | actor_loss 0.32376 | energy_loss 17.94357 | reach_loss 2748506724761.60010 | entropy 4.2568 | gamma_reach 0.999094 | ent_coef 0.00095 | elapsed 28.57s
iter 00073 | success 0.027 | cost 31.5 | energy 480.8 | actor_loss 0.32659 | energy_loss 20.38474 | reach_loss 3399676103884.79980 | entropy 4.2568 | gamma_reach 0.999095 | ent_coef 0.00095 | elapsed 28.59s
iter 00074 | success 0.035 | cost 42.2 | energy 509.7 | actor_loss 0.32861 | energy_loss 20.03286 | reach_loss 5262564445388.79980 | entropy 4.2568 | gamma_reach 0.999096 | ent_coef 0.00095 | elapsed 28.10s
iter 00075 | success 0.035 | cost 36.9 | energy 467.8 | actor_loss 0.31762 | energy_loss 22.33477 | reach_loss 4285890081587.20020 | entropy 4.2568 | gamma_reach 0.999098 | ent_coef 0.00095 | elapsed 28.12s
iter 00076 | success 0.042 | cost 42.3 | energy 536.1 | actor_loss 0.31435 | energy_loss 20.31731 | reach_loss 4075020042240.00000 | entropy 4.2568 | gamma_reach 0.999099 | ent_coef 0.00095 | elapsed 28.18s
iter 00077 | success 0.094 | cost 101.3 | energy 554.0 | actor_loss 0.31697 | energy_loss 14.15449 | reach_loss 7852681461760.00000 | entropy 4.2568 | gamma_reach 0.999100 | ent_coef 0.00095 | elapsed 28.40s
iter 00078 | success 0.091 | cost 106.9 | energy 574.3 | actor_loss 0.31772 | energy_loss 14.70055 | reach_loss 6325876418150.40039 | entropy 4.2568 | gamma_reach 0.999102 | ent_coef 0.00095 | elapsed 28.40s
iter 00079 | success 0.105 | cost 105.2 | energy 583.2 | actor_loss 0.32527 | energy_loss 14.66305 | reach_loss 2568653717504.00000 | entropy 4.2568 | gamma_reach 0.999103 | ent_coef 0.00095 | elapsed 28.49s
iter 00080 | success 0.051 | cost 55.5 | energy 580.4 | actor_loss 0.31690 | energy_loss 16.08548 | reach_loss 1572291044966.39990 | entropy 4.2568 | gamma_reach 0.999104 | ent_coef 0.00095 | elapsed 28.17s
debug 00080 | std_mean 1.0000 | std_min 1.0000 | std_max 1.0000 | done_mean 0.9949 | energy_min_ratio 0.9724 | energy_neg_ratio 0.9872 | v_reach [-1.143e+07, 1.970e+04] | t_reach [-7.767e+06, 9.528e+02] | adv_total_std 3.537e+03
iter 00081 | success 0.295 | cost 67.5 | energy 587.0 | actor_loss 0.36580 | energy_loss 53.36274 | reach_loss 1787473890508.80005 | entropy 4.2568 | gamma_reach 0.999106 | ent_coef 0.00095 | elapsed 28.65s
iter 00082 | success 0.293 | cost 69.9 | energy 582.1 | actor_loss 0.36121 | energy_loss 22.85328 | reach_loss 646493521510.40002 | entropy 4.2568 | gamma_reach 0.999107 | ent_coef 0.00095 | elapsed 28.61s
iter 00083 | success 0.279 | cost 68.5 | energy 576.4 | actor_loss 0.35758 | energy_loss 33.31152 | reach_loss 1338464724582.39990 | entropy 4.2568 | gamma_reach 0.999108 | ent_coef 0.00095 | elapsed 28.75s
iter 00084 | success 0.257 | cost 64.2 | energy 582.5 | actor_loss 0.36254 | energy_loss 31.41513 | reach_loss 684271303065.59998 | entropy 4.2568 | gamma_reach 0.999110 | ent_coef 0.00094 | elapsed 28.69s
iter 00085 | success 0.286 | cost 67.0 | energy 582.8 | actor_loss 0.34495 | energy_loss 13.90078 | reach_loss 1288812221235.19995 | entropy 4.2568 | gamma_reach 0.999111 | ent_coef 0.00094 | elapsed 28.77s
iter 00086 | success 0.226 | cost 59.9 | energy 591.1 | actor_loss 0.34024 | energy_loss 17.33155 | reach_loss 718889366323.19995 | entropy 4.2568 | gamma_reach 0.999112 | ent_coef 0.00094 | elapsed 28.63s
iter 00087 | success 0.068 | cost 80.7 | energy 523.9 | actor_loss 0.30562 | energy_loss 15.88392 | reach_loss 7060299041996.79980 | entropy 4.2568 | gamma_reach 0.999114 | ent_coef 0.00094 | elapsed 28.44s
iter 00088 | success 0.040 | cost 39.0 | energy 515.5 | actor_loss 0.32519 | energy_loss 105.46751 | reach_loss 2458762500505.60010 | entropy 4.2568 | gamma_reach 0.999115 | ent_coef 0.00094 | elapsed 28.16s
iter 00089 | success 0.037 | cost 40.4 | energy 490.8 | actor_loss 0.32215 | energy_loss 106.56905 | reach_loss 2583997916774.39990 | entropy 4.2568 | gamma_reach 0.999116 | ent_coef 0.00094 | elapsed 28.17s
iter 00090 | success 0.035 | cost 40.4 | energy 465.2 | actor_loss 0.32331 | energy_loss 140.73608 | reach_loss 3007366646988.79980 | entropy 4.2568 | gamma_reach 0.999117 | ent_coef 0.00094 | elapsed 28.14s
debug 00090 | std_mean 1.0000 | std_min 1.0000 | std_max 1.0000 | done_mean 0.9962 | energy_min_ratio 0.9732 | energy_neg_ratio 0.9878 | v_reach [-1.491e+07, 1.345e+05] | t_reach [-9.484e+06, 9.670e+02] | adv_total_std 2.350e+04
iter 00091 | success 0.036 | cost 41.2 | energy 545.8 | actor_loss 0.32418 | energy_loss 117.95581 | reach_loss 3586394950860.79980 | entropy 4.2568 | gamma_reach 0.999119 | ent_coef 0.00094 | elapsed 28.25s
iter 00092 | success 0.041 | cost 40.9 | energy 515.0 | actor_loss 0.33157 | energy_loss 126.12529 | reach_loss 4376530481971.20020 | entropy 4.2568 | gamma_reach 0.999120 | ent_coef 0.00094 | elapsed 28.21s
iter 00093 | success 0.039 | cost 40.1 | energy 528.3 | actor_loss 0.33663 | energy_loss 159.90375 | reach_loss 5262513805721.59961 | entropy 4.2568 | gamma_reach 0.999121 | ent_coef 0.00094 | elapsed 28.14s
iter 00094 | success 0.038 | cost 41.2 | energy 533.3 | actor_loss 0.34362 | energy_loss 136.78209 | reach_loss 6931074220032.00000 | entropy 4.2568 | gamma_reach 0.999123 | ent_coef 0.00094 | elapsed 28.16s
iter 00095 | success 0.064 | cost 91.3 | energy 550.6 | actor_loss 0.35023 | energy_loss 70.83846 | reach_loss 14075999630131.19922 | entropy 4.2568 | gamma_reach 0.999124 | ent_coef 0.00094 | elapsed 28.47s
iter 00096 | success 0.034 | cost 53.3 | energy 530.5 | actor_loss 0.25804 | energy_loss 47.94906 | reach_loss 3184506896384.00000 | entropy 4.2568 | gamma_reach 0.999125 | ent_coef 0.00094 | elapsed 29.05s
iter 00097 | success 0.030 | cost 35.7 | energy 468.8 | actor_loss 0.23478 | energy_loss 256.86084 | reach_loss 3151904977715.20020 | entropy 4.2568 | gamma_reach 0.999127 | ent_coef 0.00094 | elapsed 28.91s
iter 00098 | success 0.125 | cost 73.6 | energy 600.8 | actor_loss 0.28069 | energy_loss 516.68605 | reach_loss 9852657244569.59961 | entropy 4.2568 | gamma_reach 0.999128 | ent_coef 0.00094 | elapsed 28.58s
iter 00099 | success 0.191 | cost 98.0 | energy 570.2 | actor_loss 0.17008 | energy_loss 396.26377 | reach_loss 18133066658611.19922 | entropy 4.2568 | gamma_reach 0.999129 | ent_coef 0.00093 | elapsed 28.47s
iter 00100 | success 0.127 | cost 100.1 | energy 592.5 | actor_loss 0.14671 | energy_loss 334.00589 | reach_loss 35035777754726.39844 | entropy 4.2568 | gamma_reach 0.999131 | ent_coef 0.00093 | elapsed 28.38s
debug 00100 | std_mean 1.0000 | std_min 1.0000 | std_max 1.0000 | done_mean 0.9944 | energy_min_ratio 0.9724 | energy_neg_ratio 0.9872 | v_reach [-3.753e+07, 1.829e+04] | t_reach [-2.978e+07, 9.701e+02] | adv_total_std 1.317e+03
iter 00101 | success 0.032 | cost 30.2 | energy 485.7 | actor_loss 0.22152 | energy_loss 430.53244 | reach_loss 39727462979993.60156 | entropy 4.2568 | gamma_reach 0.999132 | ent_coef 0.00093 | elapsed 30.36s
iter 00102 | success 0.033 | cost 29.4 | energy 489.9 | actor_loss 0.16408 | energy_loss 388.00189 | reach_loss 55176328327987.20312 | entropy 4.2568 | gamma_reach 0.999133 | ent_coef 0.00093 | elapsed 28.26s
iter 00103 | success 0.034 | cost 30.9 | energy 483.2 | actor_loss 0.19866 | energy_loss 376.37018 | reach_loss 58924734506598.39844 | entropy 4.2568 | gamma_reach 0.999135 | ent_coef 0.00093 | elapsed 27.85s
iter 00104 | success 0.037 | cost 35.7 | energy 518.7 | actor_loss 0.21787 | energy_loss 402.20837 | reach_loss 66935107144908.79688 | entropy 4.2568 | gamma_reach 0.999136 | ent_coef 0.00093 | elapsed 28.17s
iter 00105 | success 0.268 | cost 81.0 | energy 575.5 | actor_loss 0.20402 | energy_loss 436.63995 | reach_loss 30245679425126.39844 | entropy 4.2568 | gamma_reach 0.999137 | ent_coef 0.00093 | elapsed 28.75s
iter 00106 | success 0.047 | cost 56.6 | energy 580.3 | actor_loss 0.25685 | energy_loss 363.67929 | reach_loss 70939415412736.00000 | entropy 4.2568 | gamma_reach 0.999139 | ent_coef 0.00093 | elapsed 28.29s
iter 00107 | success 0.062 | cost 63.7 | energy 542.4 | actor_loss 0.31699 | energy_loss 221.43477 | reach_loss 58925581703577.60156 | entropy 4.2568 | gamma_reach 0.999140 | ent_coef 0.00093 | elapsed 28.28s
iter 00108 | success 0.034 | cost 37.6 | energy 553.0 | actor_loss 0.33868 | energy_loss 284.77931 | reach_loss 57382462449254.39844 | entropy 4.2568 | gamma_reach 0.999141 | ent_coef 0.00093 | elapsed 28.37s
iter 00109 | success 0.032 | cost 29.6 | energy 509.5 | actor_loss 0.34204 | energy_loss 129.81538 | reach_loss 63696854214246.39844 | entropy 4.2568 | gamma_reach 0.999143 | ent_coef 0.00093 | elapsed 28.36s
iter 00110 | success 0.183 | cost 64.6 | energy 580.2 | actor_loss 0.34565 | energy_loss 155.80852 | reach_loss 49260514456371.20312 | entropy 4.2568 | gamma_reach 0.999144 | ent_coef 0.00093 | elapsed 28.40s
