iter 00030 | success 0.111 | cost 95.8 | energy 373.6 | actor_loss 0.32259 | energy_loss 915.00041 | reach_loss 31114926.17500 | mean_bound_loss 1.78363 | entropy 2.1774 | gamma_reach 0.999287 | ent_coef 0.00086 | elapsed 28.55s
debug 00030 | std_mean 0.5000 | std_min 0.5000 | std_max 0.5000 | done_mean 0.9084 | energy_min_ratio 0.4851 | energy_neg_ratio 0.7692 | e_cons [5.825e+00, 8.000e+00] | first_emin_step 103.49 | act_clip_ratio 0.6072 | act_abs [2.843e+00, 2.531e+01] | act_mean_abs [2.792e+00, 2.517e+01] | act_mean_clip_ratio 0.5466 | clipped_act_abs [7.945e-01, 1.000e+00] | init_energy [-3.998e+02, 2.022e+02, 7.998e+02] | v_reach [-2.344e+04, 2.592e+03] | t_reach [-4.997e+03, 1.143e+03] | reach_clip_ratio 0.4113 | open_ratio 0.0916 | t_done [-3.000e+02, 1.143e+03] | t_open [-4.997e+03, 7.939e+02] | v_open [-2.231e+04, 2.418e+03] | tmin_src done 0 t 199 v -1.739e+04 next_v -5.000e+03 g -3.000e+02 h -3.000e+02 energy -4.000e+02 | adv_total_std 6.680e+02 | adv_open_std 3.392e+02
iter 00031 | success 0.118 | cost 96.1 | energy 353.9 | actor_loss 0.31942 | energy_loss 583.82501 | reach_loss 34713736.45000 | mean_bound_loss 1.58494 | entropy 2.1774 | gamma_reach 0.999297 | ent_coef 0.00085 | elapsed 28.53s
iter 00032 | success 0.127 | cost 98.2 | energy 372.0 | actor_loss 0.31909 | energy_loss 579.98961 | reach_loss 36488075.45000 | mean_bound_loss 1.79101 | entropy 2.1774 | gamma_reach 0.999307 | ent_coef 0.00085 | elapsed 28.72s
iter 00033 | success 0.170 | cost 99.9 | energy 398.9 | actor_loss 0.32133 | energy_loss 608.58190 | reach_loss 36562103.75000 | mean_bound_loss 1.40022 | entropy 2.1774 | gamma_reach 0.999317 | ent_coef 0.00084 | elapsed 28.15s
iter 00034 | success 0.182 | cost 96.1 | energy 375.0 | actor_loss 0.33366 | energy_loss 717.49166 | reach_loss 33028467.95000 | mean_bound_loss 1.05523 | entropy 2.1772 | gamma_reach 0.999327 | ent_coef 0.00084 | elapsed 28.07s
iter 00035 | success 0.202 | cost 91.6 | energy 367.7 | actor_loss 0.32171 | energy_loss 765.89065 | reach_loss 35386497.60000 | mean_bound_loss 0.98908 | entropy 2.1765 | gamma_reach 0.999337 | ent_coef 0.00083 | elapsed 28.32s
iter 00036 | success 0.163 | cost 80.0 | energy 342.8 | actor_loss 0.34215 | energy_loss 1584.12173 | reach_loss 34186427.30000 | mean_bound_loss 1.31753 | entropy 2.1756 | gamma_reach 0.999347 | ent_coef 0.00082 | elapsed 28.40s
iter 00037 | success 0.157 | cost 80.8 | energy 350.4 | actor_loss 0.32381 | energy_loss 1283.01749 | reach_loss 33404495.25000 | mean_bound_loss 0.56673 | entropy 2.1771 | gamma_reach 0.999356 | ent_coef 0.00082 | elapsed 28.92s
iter 00038 | success 0.188 | cost 81.9 | energy 365.9 | actor_loss 0.31916 | energy_loss 529.24668 | reach_loss 35119357.75000 | mean_bound_loss 1.52034 | entropy 2.1771 | gamma_reach 0.999366 | ent_coef 0.00082 | elapsed 29.49s
iter 00039 | success 0.174 | cost 80.8 | energy 361.6 | actor_loss 0.32983 | energy_loss 459.39827 | reach_loss 35840523.65000 | mean_bound_loss 1.31027 | entropy 2.1772 | gamma_reach 0.999376 | ent_coef 0.00081 | elapsed 28.48s
iter 00040 | success 0.150 | cost 80.3 | energy 373.7 | actor_loss 0.35545 | energy_loss 170.79309 | reach_loss 29279130.35000 | mean_bound_loss 2.36708 | entropy 2.1774 | gamma_reach 0.999386 | ent_coef 0.00081 | elapsed 28.18s
debug 00040 | std_mean 0.5000 | std_min 0.5000 | std_max 0.5000 | done_mean 0.9650 | energy_min_ratio 0.4759 | energy_neg_ratio 0.7604 | e_cons [5.867e+00, 8.000e+00] | first_emin_step 105.35 | act_clip_ratio 0.6281 | act_abs [3.049e+00, 1.519e+01] | act_mean_abs [2.982e+00, 1.414e+01] | act_mean_clip_ratio 0.6057 | clipped_act_abs [7.960e-01, 1.000e+00] | init_energy [-3.999e+02, 2.009e+02, 7.997e+02] | v_reach [-3.144e+04, 2.667e+03] | t_reach [-4.997e+03, 1.703e+03] | reach_clip_ratio 0.2969 | open_ratio 0.0350 | t_done [-3.000e+02, 1.703e+03] | t_open [-4.997e+03, 7.913e+02] | v_open [-2.502e+04, 2.420e+03] | tmin_src done 0 t 199 v -1.049e+04 next_v -5.000e+03 g -3.000e+02 h -3.000e+02 energy -4.000e+02 | adv_total_std 6.231e+02 | adv_open_std 4.787e+02
iter 00041 | success 0.150 | cost 79.3 | energy 363.6 | actor_loss 0.34431 | energy_loss 189.38711 | reach_loss 20992137.07500 | mean_bound_loss 2.55767 | entropy 2.1767 | gamma_reach 0.999396 | ent_coef 0.00080 | elapsed 28.36s
iter 00042 | success 0.203 | cost 87.6 | energy 376.1 | actor_loss 0.34367 | energy_loss 391.22887 | reach_loss 19400263.17500 | mean_bound_loss 3.08173 | entropy 2.1771 | gamma_reach 0.999406 | ent_coef 0.00080 | elapsed 28.40s
iter 00043 | success 0.183 | cost 88.3 | energy 381.0 | actor_loss 0.34699 | energy_loss 321.81401 | reach_loss 19736049.70000 | mean_bound_loss 3.29780 | entropy 2.1774 | gamma_reach 0.999416 | ent_coef 0.00079 | elapsed 28.39s
iter 00044 | success 0.186 | cost 91.0 | energy 396.6 | actor_loss 0.34509 | energy_loss 520.05651 | reach_loss 20221515.02500 | mean_bound_loss 2.91165 | entropy 2.1774 | gamma_reach 0.999426 | ent_coef 0.00078 | elapsed 28.45s
iter 00045 | success 0.195 | cost 93.1 | energy 388.8 | actor_loss 0.49280 | energy_loss 560.90433 | reach_loss 20023214.25000 | mean_bound_loss 3.54377 | entropy 2.1774 | gamma_reach 0.999436 | ent_coef 0.00078 | elapsed 28.84s
iter 00046 | success 0.170 | cost 90.9 | energy 393.8 | actor_loss 0.34436 | energy_loss 659.85627 | reach_loss 21618756.50000 | mean_bound_loss 1.93260 | entropy 2.1774 | gamma_reach 0.999445 | ent_coef 0.00077 | elapsed 28.14s
iter 00047 | success 0.221 | cost 84.4 | energy 376.6 | actor_loss 0.34905 | energy_loss 274.79303 | reach_loss 23254575.65000 | mean_bound_loss 1.38450 | entropy 2.1774 | gamma_reach 0.999455 | ent_coef 0.00077 | elapsed 28.33s
iter 00048 | success 0.172 | cost 81.4 | energy 377.5 | actor_loss 0.33899 | energy_loss 432.36224 | reach_loss 23682039.75000 | mean_bound_loss 1.33394 | entropy 2.1774 | gamma_reach 0.999465 | ent_coef 0.00076 | elapsed 28.46s
iter 00049 | success 0.150 | cost 82.6 | energy 373.0 | actor_loss 0.33428 | energy_loss 372.90778 | reach_loss 48617706.45000 | mean_bound_loss 1.74442 | entropy 2.1774 | gamma_reach 0.999475 | ent_coef 0.00076 | elapsed 28.46s
iter 00050 | success 0.159 | cost 95.9 | energy 409.5 | actor_loss 0.33910 | energy_loss 359.74759 | reach_loss 54607364.30000 | mean_bound_loss 1.83560 | entropy 2.1771 | gamma_reach 0.999485 | ent_coef 0.00076 | elapsed 28.38s
debug 00050 | std_mean 0.4999 | std_min 0.4997 | std_max 0.5000 | done_mean 0.9205 | energy_min_ratio 0.5000 | energy_neg_ratio 0.7735 | e_cons [6.031e+00, 8.000e+00] | first_emin_step 100.50 | act_clip_ratio 0.6572 | act_abs [4.367e+00, 2.077e+01] | act_mean_abs [4.309e+00, 1.957e+01] | act_mean_clip_ratio 0.6274 | clipped_act_abs [8.117e-01, 1.000e+00] | init_energy [-3.999e+02, 2.021e+02, 7.994e+02] | v_reach [-3.169e+04, 4.048e+03] | t_reach [-4.998e+03, 1.321e+03] | reach_clip_ratio 0.5029 | open_ratio 0.0795 | t_done [-3.000e+02, 1.321e+03] | t_open [-4.998e+03, 7.891e+02] | v_open [-3.085e+04, 3.981e+03] | tmin_src done 0 t 199 v -1.848e+04 next_v -5.000e+03 g -3.000e+02 h -3.000e+02 energy -4.000e+02 | adv_total_std 8.313e+02 | adv_open_std 6.201e+02
iter 00051 | success 0.125 | cost 98.1 | energy 415.8 | actor_loss 0.33067 | energy_loss 499.19624 | reach_loss 54656984.75000 | mean_bound_loss 2.03342 | entropy 2.1769 | gamma_reach 0.999495 | ent_coef 0.00075 | elapsed 27.94s
iter 00052 | success 0.028 | cost 33.6 | energy 212.0 | actor_loss 0.33863 | energy_loss 395.69485 | reach_loss 39578939.95000 | mean_bound_loss 2.26835 | entropy 2.1768 | gamma_reach 0.999505 | ent_coef 0.00075 | elapsed 28.33s
iter 00053 | success 0.048 | cost 59.0 | energy 342.8 | actor_loss 0.36355 | energy_loss 504.83379 | reach_loss 44929273.70000 | mean_bound_loss 3.64314 | entropy 2.1763 | gamma_reach 0.999515 | ent_coef 0.00074 | elapsed 28.49s
iter 00054 | success 0.030 | cost 26.1 | energy 166.7 | actor_loss 0.35315 | energy_loss 425.70175 | reach_loss 34844248.35000 | mean_bound_loss 3.57047 | entropy 2.1770 | gamma_reach 0.999525 | ent_coef 0.00073 | elapsed 28.66s
