iter 00025 | success 0.030 | cost 58.1 | energy 301.1 | reach_rate 0.037 | safe_rate 0.068 | unsafe_before_reach 0.007 | no_reach 0.963 | actor_loss 0.38929 | energy_loss 145.01499 | reach_loss 630591.34531 | mean_bound_loss 0.94459 | entropy 2.1740 | gamma_reach 0.999238 | ent_coef 0.00088 | elapsed 27.51s
iter 00026 | success 0.027 | cost 53.2 | energy 261.5 | reach_rate 0.028 | safe_rate 0.075 | unsafe_before_reach 0.002 | no_reach 0.972 | actor_loss 0.35714 | energy_loss 137.94353 | reach_loss 508696.08242 | mean_bound_loss 1.02024 | entropy 2.1707 | gamma_reach 0.999248 | ent_coef 0.00088 | elapsed 27.11s
iter 00027 | success 0.041 | cost 79.1 | energy 358.8 | reach_rate 0.054 | safe_rate 0.165 | unsafe_before_reach 0.013 | no_reach 0.946 | actor_loss 0.36890 | energy_loss 191.15662 | reach_loss 470830.75430 | mean_bound_loss 0.90199 | entropy 2.1673 | gamma_reach 0.999257 | ent_coef 0.00087 | elapsed 27.58s
iter 00028 | success 0.049 | cost 84.5 | energy 375.2 | reach_rate 0.069 | safe_rate 0.170 | unsafe_before_reach 0.020 | no_reach 0.931 | actor_loss 0.37823 | energy_loss 263.46878 | reach_loss 579257.35313 | mean_bound_loss 0.85946 | entropy 2.1632 | gamma_reach 0.999267 | ent_coef 0.00087 | elapsed 27.02s
iter 00029 | success 0.028 | cost 50.9 | energy 301.3 | reach_rate 0.029 | safe_rate 0.076 | unsafe_before_reach 0.001 | no_reach 0.971 | actor_loss 0.36248 | energy_loss 229.19719 | reach_loss 556114.97266 | mean_bound_loss 0.82418 | entropy 2.1619 | gamma_reach 0.999277 | ent_coef 0.00086 | elapsed 27.70s
iter 00030 | success 0.024 | cost 47.7 | energy 242.6 | reach_rate 0.024 | safe_rate 0.075 | unsafe_before_reach 0.000 | no_reach 0.976 | actor_loss 0.37128 | energy_loss 356.79427 | reach_loss 536329.78047 | mean_bound_loss 0.82922 | entropy 2.1610 | gamma_reach 0.999287 | ent_coef 0.00086 | elapsed 27.77s
debug 00030 | std_mean 0.4971 | std_min 0.4914 | std_max 0.5000 | done_mean 0.9469 | energy_min_ratio 0.4902 | energy_neg_ratio 0.7673 | e_cons [5.945e+00, 8.000e+00] | first_emin_step 102.48 | act_clip_ratio 0.6294 | act_abs [2.752e+00, 1.662e+01] | act_mean_abs [2.702e+00, 1.534e+01] | act_mean_clip_ratio 0.5970 | clipped_act_abs [8.055e-01, 1.000e+00] | act_mean_abs_dim [5.785e+00, 1.174e+00, 1.147e+00] | act_mean_clip_dim [0.9517, 0.4283, 0.4109] | clipped_act_abs_dim [9.756e-01, 7.345e-01, 7.065e-01] | init_energy [-4.000e+02, 2.062e+02, 7.992e+02] | v_reach [-2.025e+03, 2.425e+03] | t_reach [-1.056e+03, 1.650e+03] | reach_clip_ratio 0.0000 | open_ratio 0.0531 | t_done [-3.000e+02, 1.650e+03] | t_open [-1.056e+03, 7.950e+02] | v_open [-1.871e+03, 2.234e+03] | tmin_src done 0 t 196 v -1.035e+03 next_v -1.058e+03 g 3.884e+02 h -3.000e+02 energy -4.000e+02 | adv_total_std 6.525e+02 | adv_open_std 5.307e+02
iter 00031 | success 0.030 | cost 54.6 | energy 288.0 | reach_rate 0.031 | safe_rate 0.111 | unsafe_before_reach 0.001 | no_reach 0.969 | actor_loss 0.36511 | energy_loss 369.05566 | reach_loss 551555.54453 | mean_bound_loss 0.47383 | entropy 2.1593 | gamma_reach 0.999297 | ent_coef 0.00085 | elapsed 27.72s
iter 00032 | success 0.050 | cost 77.9 | energy 396.8 | reach_rate 0.055 | safe_rate 0.146 | unsafe_before_reach 0.005 | no_reach 0.945 | actor_loss 0.36569 | energy_loss 454.26855 | reach_loss 520797.43320 | mean_bound_loss 0.60417 | entropy 2.1580 | gamma_reach 0.999307 | ent_coef 0.00085 | elapsed 27.39s
iter 00033 | success 0.029 | cost 74.4 | energy 297.8 | reach_rate 0.039 | safe_rate 0.113 | unsafe_before_reach 0.010 | no_reach 0.961 | actor_loss 0.36333 | energy_loss 307.17736 | reach_loss 508762.40703 | mean_bound_loss 0.50168 | entropy 2.1577 | gamma_reach 0.999317 | ent_coef 0.00084 | elapsed 27.11s
iter 00034 | success 0.069 | cost 80.6 | energy 297.3 | reach_rate 0.092 | safe_rate 0.137 | unsafe_before_reach 0.023 | no_reach 0.908 | actor_loss 0.36014 | energy_loss 282.53797 | reach_loss 643175.26484 | mean_bound_loss 0.32188 | entropy 2.1602 | gamma_reach 0.999327 | ent_coef 0.00084 | elapsed 25.98s
iter 00035 | success 0.095 | cost 78.8 | energy 271.8 | reach_rate 0.154 | safe_rate 0.167 | unsafe_before_reach 0.058 | no_reach 0.846 | actor_loss 0.36627 | energy_loss 149.52758 | reach_loss 632852.01250 | mean_bound_loss 0.50075 | entropy 2.1612 | gamma_reach 0.999337 | ent_coef 0.00083 | elapsed 26.47s
