iter 00001 | success 0.011 | cost 43.9 | energy 69.9 | actor_loss 0.01973 | energy_loss 90.48900 | reach_loss 70965.86719 | mean_bound_loss 0.00000 | entropy 2.1770 | gamma_reach 0.999000 | ent_coef 0.00100 | elapsed 25.35s
debug 00080 | std_mean 0.4966 | std_min 0.4919 | std_max 0.4995 | done_mean 0.8804 | energy_min_ratio 0.4615 | energy_neg_ratio 0.7612 | e_cons [5.334e+00, 8.000e+00] | first_emin_step 108.24 | act_clip_ratio 0.5361 | act_abs [1.772e+00, 1.516e+01] | act_mean_abs [1.692e+00, 1.446e+01] | act_mean_clip_ratio 0.4984 | clipped_act_abs [7.450e-01, 1.000e+00] | init_energy [-3.996e+02, 2.014e+02, 8.000e+02] | v_reach [-1.369e+04, 3.741e+03] | t_reach [-4.999e+03, 1.530e+03] | reach_clip_ratio 0.0922 | open_ratio 0.1196 | t_done [-3.000e+02, 1.530e+03] | t_open [-4.999e+03, 7.811e+02] | v_open [-1.159e+04, 3.328e+03] | tmin_src done 0 t 199 v -8.048e+03 next_v -5.000e+03 g 3.879e+02 h -3.000e+02 energy -4.000e+02 | adv_total_std 8.608e+02 | adv_open_std 6.540e+02
iter 00081 | success 0.012 | cost 16.1 | energy 85.8 | actor_loss 0.37170 | energy_loss 49.32662 | reach_loss 5049002.21875 | mean_bound_loss 0.87318 | entropy 2.1571 | gamma_reach 0.999792 | ent_coef 0.00060 | elapsed 28.08s
iter 00082 | success 0.014 | cost 29.7 | energy 105.9 | actor_loss 0.33679 | energy_loss 32.51393 | reach_loss 9258332.02500 | mean_bound_loss 0.71920 | entropy 2.1576 | gamma_reach 0.999802 | ent_coef 0.00060 | elapsed 28.50s
iter 00083 | success 0.013 | cost 19.8 | energy 113.0 | actor_loss 0.34644 | energy_loss 79.92000 | reach_loss 8372207.45000 | mean_bound_loss 0.70454 | entropy 2.1578 | gamma_reach 0.999812 | ent_coef 0.00059 | elapsed 28.55s
iter 00084 | success 0.010 | cost 15.2 | energy 88.2 | actor_loss 0.36178 | energy_loss 32.53671 | reach_loss 7747018.70000 | mean_bound_loss 0.85325 | entropy 2.1601 | gamma_reach 0.999822 | ent_coef 0.00059 | elapsed 28.59s
iter 00085 | success 0.011 | cost 15.0 | energy 102.5 | actor_loss 0.40849 | energy_loss 30.68436 | reach_loss 8087028.29375 | mean_bound_loss 0.89836 | entropy 2.1633 | gamma_reach 0.999832 | ent_coef 0.00058 | elapsed 28.80s
iter 00086 | success 0.015 | cost 15.3 | energy 95.3 | actor_loss 0.36425 | energy_loss 19.02088 | reach_loss 7657169.82500 | mean_bound_loss 0.99588 | entropy 2.1623 | gamma_reach 0.999842 | ent_coef 0.00057 | elapsed 28.88s
iter 00087 | success 0.012 | cost 10.7 | energy 78.4 | actor_loss 0.35454 | energy_loss 15.43458 | reach_loss 6751338.99375 | mean_bound_loss 0.90383 | entropy 2.1581 | gamma_reach 0.999851 | ent_coef 0.00057 | elapsed 28.13s
iter 00088 | success 0.008 | cost 32.8 | energy 117.3 | actor_loss 0.35743 | energy_loss 22.61776 | reach_loss 6689722.45000 | mean_bound_loss 0.93922 | entropy 2.1508 | gamma_reach 0.999861 | ent_coef 0.00056 | elapsed 28.76s
iter 00089 | success 0.011 | cost 19.1 | energy 123.6 | actor_loss 0.35361 | energy_loss 24.44348 | reach_loss 8164162.16875 | mean_bound_loss 1.04492 | entropy 2.1452 | gamma_reach 0.999871 | ent_coef 0.00056 | elapsed 28.83s
iter 00090 | success 0.010 | cost 31.2 | energy 127.8 | actor_loss 0.35582 | energy_loss 27.78618 | reach_loss 9281402.12500 | mean_bound_loss 0.81743 | entropy 2.1388 | gamma_reach 0.999881 | ent_coef 0.00056 | elapsed 28.88s
debug 00090 | std_mean 0.4931 | std_min 0.4919 | std_max 0.4938 | done_mean 0.9033 | energy_min_ratio 0.5214 | energy_neg_ratio 0.7964 | e_cons [5.934e+00, 8.000e+00] | first_emin_step 96.20 | act_clip_ratio 0.6251 | act_abs [1.860e+00, 1.231e+01] | act_mean_abs [1.809e+00, 1.119e+01] | act_mean_clip_ratio 0.6017 | clipped_act_abs [8.047e-01, 1.000e+00] | init_energy [-3.995e+02, 1.906e+02, 7.998e+02] | v_reach [-1.721e+04, 3.387e+03] | t_reach [-4.999e+03, 1.335e+03] | reach_clip_ratio 0.2385 | open_ratio 0.0967 | t_done [-3.000e+02, 1.335e+03] | t_open [-4.999e+03, 7.613e+02] | v_open [-1.105e+04, 2.760e+03] | tmin_src done 0 t 199 v -9.956e+03 next_v -5.000e+03 g 4.072e+02 h -3.000e+02 energy -4.000e+02 | adv_total_std 6.848e+02 | adv_open_std 5.439e+02
iter 00091 | success 0.010 | cost 17.6 | energy 122.1 | actor_loss 0.35897 | energy_loss 20.77701 | reach_loss 9094911.70000 | mean_bound_loss 0.78835 | entropy 2.1344 | gamma_reach 0.999891 | ent_coef 0.00055 | elapsed 28.84s
iter 00092 | success 0.011 | cost 16.0 | energy 108.8 | actor_loss 0.36779 | energy_loss 16.11749 | reach_loss 10103349.37500 | mean_bound_loss 0.76461 | entropy 2.1302 | gamma_reach 0.999901 | ent_coef 0.00055 | elapsed 28.90s
iter 00093 | success 0.008 | cost 28.6 | energy 135.3 | actor_loss 0.36269 | energy_loss 14.27172 | reach_loss 10383087.11250 | mean_bound_loss 0.62085 | entropy 2.1251 | gamma_reach 0.999911 | ent_coef 0.00054 | elapsed 28.92s
iter 00094 | success 0.012 | cost 13.3 | energy 69.5 | actor_loss 0.37039 | energy_loss 15.93874 | reach_loss 10314180.83750 | mean_bound_loss 0.78976 | entropy 2.1216 | gamma_reach 0.999921 | ent_coef 0.00053 | elapsed 28.90s
iter 00095 | success 0.010 | cost 28.7 | energy 115.1 | actor_loss 0.35548 | energy_loss 19.84724 | reach_loss 10608953.35000 | mean_bound_loss 0.54859 | entropy 2.1200 | gamma_reach 0.999931 | ent_coef 0.00053 | elapsed 28.88s
iter 00096 | success 0.011 | cost 19.1 | energy 74.8 | actor_loss 0.35706 | energy_loss 20.29196 | reach_loss 9376856.80000 | mean_bound_loss 0.57148 | entropy 2.1182 | gamma_reach 0.999941 | ent_coef 0.00052 | elapsed 28.79s
iter 00097 | success 0.011 | cost 5.1 | energy 38.4 | actor_loss 0.33327 | energy_loss 24.96474 | reach_loss 13585664.92500 | mean_bound_loss 0.79736 | entropy 2.1137 | gamma_reach 0.999950 | ent_coef 0.00052 | elapsed 27.80s
iter 00098 | success 0.009 | cost 2.8 | energy 24.4 | actor_loss 0.36080 | energy_loss 30.20268 | reach_loss 11041157.55000 | mean_bound_loss 0.83781 | entropy 2.1108 | gamma_reach 0.999960 | ent_coef 0.00052 | elapsed 28.72s
iter 00099 | success 0.009 | cost 4.0 | energy 35.8 | actor_loss 0.36026 | energy_loss 27.18119 | reach_loss 6042723.45625 | mean_bound_loss 0.52590 | entropy 2.1076 | gamma_reach 0.999970 | ent_coef 0.00051 | elapsed 29.17s
iter 00100 | success 0.010 | cost 1.8 | energy 20.6 | actor_loss 0.34550 | energy_loss 41.61615 | reach_loss 10564056.65000 | mean_bound_loss 0.61102 | entropy 2.1039 | gamma_reach 0.999980 | ent_coef 0.00051 | elapsed 30.43s
debug 00100 | std_mean 0.4875 | std_min 0.4819 | std_max 0.4921 | done_mean 0.8501 | energy_min_ratio 0.5203 | energy_neg_ratio 0.7880 | e_cons [6.137e+00, 8.000e+00] | first_emin_step 96.42 | act_clip_ratio 0.6597 | act_abs [2.140e+00, 1.248e+01] | act_mean_abs [2.095e+00, 1.181e+01] | act_mean_clip_ratio 0.6477 | clipped_act_abs [8.242e-01, 1.000e+00] | init_energy [-3.997e+02, 1.964e+02, 7.992e+02] | v_reach [-1.234e+04, 3.020e+03] | t_reach [-5.000e+03, 1.454e+03] | reach_clip_ratio 0.3203 | open_ratio 0.1499 | t_done [-3.000e+02, 1.454e+03] | t_open [-5.000e+03, 6.549e+02] | v_open [-1.007e+04, 2.825e+03] | tmin_src done 0 t 199 v -7.505e+03 next_v -5.000e+03 g 4.218e+02 h -3.000e+02 energy -4.000e+02 | adv_total_std 6.236e+02 | adv_open_std 4.071e+02
iter 00101 | success 0.015 | cost 17.0 | energy 90.1 | actor_loss 0.35829 | energy_loss 49.80116 | reach_loss 6807690.32500 | mean_bound_loss 0.70679 | entropy 2.0999 | gamma_reach 0.999990 | ent_coef 0.00050 | elapsed 32.78s
iter 00102 | success 0.011 | cost 9.0 | energy 56.6 | actor_loss 0.32513 | energy_loss 69.66082 | reach_loss 2869578.52813 | mean_bound_loss 0.48283 | entropy 2.0990 | gamma_reach 0.999990 | ent_coef 0.00049 | elapsed 30.35s
iter 00103 | success 0.010 | cost 3.5 | energy 25.8 | actor_loss 0.33276 | energy_loss 54.57130 | reach_loss 4285334.17500 | mean_bound_loss 0.45195 | entropy 2.0983 | gamma_reach 0.999990 | ent_coef 0.00049 | elapsed 30.23s
iter 00104 | success 0.010 | cost 4.8 | energy 40.0 | actor_loss 0.34678 | energy_loss 34.78398 | reach_loss 4130140.65625 | mean_bound_loss 0.64795 | entropy 2.0958 | gamma_reach 0.999990 | ent_coef 0.00049 | elapsed 30.32s
iter 00105 | success 0.013 | cost 11.2 | energy 73.3 | actor_loss 0.34660 | energy_loss 40.97405 | reach_loss 5207003.02500 | mean_bound_loss 0.62257 | entropy 2.0917 | gamma_reach 0.999990 | ent_coef 0.00048 | elapsed 29.95s
iter 00106 | success 0.018 | cost 21.8 | energy 130.2 | actor_loss 0.35187 | energy_loss 67.91177 | reach_loss 5985764.46875 | mean_bound_loss 0.68286 | entropy 2.0880 | gamma_reach 0.999990 | ent_coef 0.00047 | elapsed 29.05s
iter 00107 | success 0.010 | cost 5.9 | energy 32.1 | actor_loss 0.33829 | energy_loss 60.63724 | reach_loss 7323381.68750 | mean_bound_loss 0.77065 | entropy 2.0864 | gamma_reach 0.999990 | ent_coef 0.00047 | elapsed 27.83s
iter 00108 | success 0.020 | cost 26.1 | energy 126.4 | actor_loss 0.34565 | energy_loss 44.83585 | reach_loss 5982012.57500 | mean_bound_loss 1.00455 | entropy 2.0869 | gamma_reach 0.999990 | ent_coef 0.00046 | elapsed 28.54s
iter 00109 | success 0.013 | cost 17.1 | energy 77.3 | actor_loss 0.33851 | energy_loss 77.74031 | reach_loss 9610995.80000 | mean_bound_loss 0.68929 | entropy 2.0871 | gamma_reach 0.999990 | ent_coef 0.00046 | elapsed 29.42s
iter 00110 | success 0.011 | cost 10.3 | energy 59.6 | actor_loss 0.32038 | energy_loss 42.32412 | reach_loss 8272570.45625 | mean_bound_loss 0.86164 | entropy 2.0876 | gamma_reach 0.999990 | ent_coef 0.00046 | elapsed 30.17s
debug 00110 | std_mean 0.4853 | std_min 0.4728 | std_max 0.4953 | done_mean 0.8713 | energy_min_ratio 0.4973 | energy_neg_ratio 0.7724 | e_cons [5.937e+00, 8.000e+00] | first_emin_step 101.05 | act_clip_ratio 0.6254 | act_abs [1.987e+00, 1.098e+01] | act_mean_abs [1.938e+00, 1.061e+01] | act_mean_clip_ratio 0.6052 | clipped_act_abs [8.050e-01, 1.000e+00] | init_energy [-3.999e+02, 1.975e+02, 7.996e+02] | v_reach [-1.110e+04, 2.599e+03] | t_reach [-5.000e+03, 1.359e+03] | reach_clip_ratio 0.2635 | open_ratio 0.1287 | t_done [-3.000e+02, 1.359e+03] | t_open [-5.000e+03, 7.953e+02] | v_open [-1.073e+04, 2.483e+03] | tmin_src done 0 t 199 v -6.288e+03 next_v -5.000e+03 g 2.290e+02 h -3.000e+02 energy -4.000e+02 | adv_total_std 4.783e+02 | adv_open_std 3.103e+02
iter 00111 | success 0.017 | cost 24.7 | energy 102.9 | actor_loss 0.33507 | energy_loss 23.50674 | reach_loss 8182674.68750 | mean_bound_loss 0.52547 | entropy 2.0879 | gamma_reach 0.999990 | ent_coef 0.00045 | elapsed 30.94s
iter 00112 | success 0.020 | cost 36.8 | energy 152.2 | actor_loss 0.31938 | energy_loss 42.98493 | reach_loss 4505808.35625 | mean_bound_loss 0.50632 | entropy 2.0850 | gamma_reach 0.999990 | ent_coef 0.00044 | elapsed 31.38s
iter 00113 | success 0.009 | cost 9.1 | energy 49.8 | actor_loss 0.29737 | energy_loss 52.39964 | reach_loss 1504833.18281 | mean_bound_loss 0.83163 | entropy 2.0838 | gamma_reach 0.999990 | ent_coef 0.00044 | elapsed 28.71s
iter 00114 | success 0.019 | cost 52.2 | energy 248.3 | actor_loss 0.32087 | energy_loss 46.49547 | reach_loss 1086729.41406 | mean_bound_loss 0.79087 | entropy 2.0899 | gamma_reach 0.999990 | ent_coef 0.00044 | elapsed 28.66s
iter 00115 | success 0.020 | cost 56.8 | energy 247.7 | actor_loss 0.38006 | energy_loss 75.13999 | reach_loss 808669.99062 | mean_bound_loss 0.30023 | entropy 2.0908 | gamma_reach 0.999990 | ent_coef 0.00043 | elapsed 28.81s
iter 00116 | success 0.037 | cost 65.5 | energy 312.6 | actor_loss 0.36862 | energy_loss 65.83209 | reach_loss 510955.35938 | mean_bound_loss 0.63427 | entropy 2.0946 | gamma_reach 0.999990 | ent_coef 0.00043 | elapsed 28.97s
iter 00117 | success 0.016 | cost 17.8 | energy 103.3 | actor_loss 0.34231 | energy_loss 93.99732 | reach_loss 670017.68750 | mean_bound_loss 0.30986 | entropy 2.1009 | gamma_reach 0.999990 | ent_coef 0.00042 | elapsed 28.36s
iter 00118 | success 0.034 | cost 45.9 | energy 217.4 | actor_loss 0.32447 | energy_loss 99.30721 | reach_loss 413776.93945 | mean_bound_loss 0.41767 | entropy 2.1122 | gamma_reach 0.999990 | ent_coef 0.00042 | elapsed 28.77s
iter 00119 | success 0.062 | cost 92.1 | energy 342.5 | actor_loss 0.31748 | energy_loss 98.30253 | reach_loss 284803.40078 | mean_bound_loss 0.72203 | entropy 2.1279 | gamma_reach 0.999990 | ent_coef 0.00041 | elapsed 28.83s
iter 00120 | success 0.106 | cost 100.7 | energy 382.1 | actor_loss 0.32664 | energy_loss 115.71803 | reach_loss 239846.88926 | mean_bound_loss 0.74551 | entropy 2.1418 | gamma_reach 0.999990 | ent_coef 0.00041 | elapsed 28.70s
debug 00120 | std_mean 0.4948 | std_min 0.4844 | std_max 0.5000 | done_mean 0.8713 | energy_min_ratio 0.5340 | energy_neg_ratio 0.7924 | e_cons [6.394e+00, 8.000e+00] | first_emin_step 93.66 | act_clip_ratio 0.7002 | act_abs [2.171e+00, 1.363e+01] | act_mean_abs [2.134e+00, 1.253e+01] | act_mean_clip_ratio 0.6993 | clipped_act_abs [8.493e-01, 1.000e+00] | init_energy [-3.998e+02, 1.988e+02, 7.999e+02] | v_reach [-3.859e+03, 1.803e+03] | t_reach [-2.577e+03, 9.050e+02] | reach_clip_ratio 0.0000 | open_ratio 0.1287 | t_done [-3.000e+02, 9.050e+02] | t_open [-2.577e+03, 7.537e+02] | v_open [-3.783e+03, 1.627e+03] | tmin_src done 0 t 199 v 9.171e+02 next_v -2.577e+03 g 4.834e+02 h -3.000e+02 energy -4.000e+02 | adv_total_std 3.474e+02 | adv_open_std 2.803e+02
iter 00121 | success 0.061 | cost 85.3 | energy 359.5 | actor_loss 0.32467 | energy_loss 122.67220 | reach_loss 242833.05039 | mean_bound_loss 0.81501 | entropy 2.1487 | gamma_reach 0.999990 | ent_coef 0.00040 | elapsed 28.52s
iter 00122 | success 0.070 | cost 106.0 | energy 387.4 | actor_loss 0.31080 | energy_loss 136.37520 | reach_loss 218454.88164 | mean_bound_loss 0.54221 | entropy 2.1519 | gamma_reach 0.999990 | ent_coef 0.00040 | elapsed 28.57s
iter 00123 | success 0.028 | cost 53.1 | energy 198.9 | actor_loss 0.31116 | energy_loss 115.19041 | reach_loss 442034.95195 | mean_bound_loss 0.46433 | entropy 2.1543 | gamma_reach 0.999990 | ent_coef 0.00039 | elapsed 28.55s
iter 00124 | success 0.144 | cost 117.1 | energy 438.1 | actor_loss 0.29232 | energy_loss 61.74643 | reach_loss 507894.72578 | mean_bound_loss 0.51981 | entropy 2.1579 | gamma_reach 0.999990 | ent_coef 0.00038 | elapsed 28.53s
iter 00125 | success 0.058 | cost 79.1 | energy 238.3 | actor_loss 0.30028 | energy_loss 55.46911 | reach_loss 817586.15312 | mean_bound_loss 0.63427 | entropy 2.1631 | gamma_reach 0.999990 | ent_coef 0.00038 | elapsed 28.50s
iter 00126 | success 0.012 | cost 30.9 | energy 149.1 | actor_loss 0.30859 | energy_loss 51.01675 | reach_loss 1500956.02344 | mean_bound_loss 0.65348 | entropy 2.1674 | gamma_reach 0.999990 | ent_coef 0.00038 | elapsed 28.49s
iter 00127 | success 0.257 | cost 93.5 | energy 435.1 | actor_loss 0.27765 | energy_loss 42.14374 | reach_loss 1479528.77500 | mean_bound_loss 0.91485 | entropy 2.1707 | gamma_reach 0.999990 | ent_coef 0.00037 | elapsed 28.30s
iter 00128 | success 0.253 | cost 94.8 | energy 430.4 | actor_loss 0.34641 | energy_loss 63.60122 | reach_loss 1736826.91406 | mean_bound_loss 1.04557 | entropy 2.1733 | gamma_reach 0.999990 | ent_coef 0.00036 | elapsed 27.73s
iter 00129 | success 0.241 | cost 97.2 | energy 421.1 | actor_loss 0.31077 | energy_loss 52.22858 | reach_loss 2415783.46875 | mean_bound_loss 0.92574 | entropy 2.1755 | gamma_reach 0.999990 | ent_coef 0.00036 | elapsed 27.96s
iter 00130 | success 0.018 | cost 32.2 | energy 131.4 | actor_loss 0.34554 | energy_loss 87.32621 | reach_loss 2555323.05313 | mean_bound_loss 1.48231 | entropy 2.1774 | gamma_reach 0.999990 | ent_coef 0.00036 | elapsed 28.08s
debug 00130 | std_mean 0.5000 | std_min 0.5000 | std_max 0.5000 | done_mean 0.8499 | energy_min_ratio 0.5325 | energy_neg_ratio 0.7917 | e_cons [6.369e+00, 8.000e+00] | first_emin_step 93.96 | act_clip_ratio 0.6993 | act_abs [2.278e+00, 1.524e+01] | act_mean_abs [2.238e+00, 1.448e+01] | act_mean_clip_ratio 0.6912 | clipped_act_abs [8.465e-01, 1.000e+00] | init_energy [-3.996e+02, 1.999e+02, 7.999e+02] | v_reach [-1.184e+04, 1.812e+03] | t_reach [-5.000e+03, 8.371e+02] | reach_clip_ratio 0.0561 | open_ratio 0.1501 | t_done [-3.000e+02, 8.371e+02] | t_open [-5.000e+03, 7.614e+02] | v_open [-9.006e+03, 1.717e+03] | tmin_src done 0 t 199 v -6.883e+03 next_v -5.000e+03 g 2.565e+02 h -3.000e+02 energy -4.000e+02 | adv_total_std 5.290e+02 | adv_open_std 4.211e+02
iter 00131 | success 0.013 | cost 34.3 | energy 155.5 | actor_loss 0.36015 | energy_loss 97.40653 | reach_loss 4485690.73750 | mean_bound_loss 1.29311 | entropy 2.1774 | gamma_reach 0.999990 | ent_coef 0.00035 | elapsed 28.37s
iter 00132 | success 0.013 | cost 20.7 | energy 129.1 | actor_loss 0.35887 | energy_loss 81.66426 | reach_loss 6733595.87500 | mean_bound_loss 0.97891 | entropy 2.1774 | gamma_reach 0.999990 | ent_coef 0.00035 | elapsed 28.41s
iter 00133 | success 0.011 | cost 10.8 | energy 66.9 | actor_loss 0.36805 | energy_loss 56.41644 | reach_loss 6767372.56250 | mean_bound_loss 0.86368 | entropy 2.1774 | gamma_reach 0.999990 | ent_coef 0.00034 | elapsed 28.52s
iter 00134 | success 0.017 | cost 53.2 | energy 184.1 | actor_loss 0.35133 | energy_loss 55.76255 | reach_loss 5875802.15000 | mean_bound_loss 0.94032 | entropy 2.1774 | gamma_reach 0.999990 | ent_coef 0.00034 | elapsed 29.22s
iter 00135 | success 0.203 | cost 123.7 | energy 463.5 | actor_loss 0.35337 | energy_loss 36.47365 | reach_loss 9380475.17500 | mean_bound_loss 0.57661 | entropy 2.1772 | gamma_reach 0.999990 | ent_coef 0.00033 | elapsed 28.68s
iter 00136 | success 0.174 | cost 121.6 | energy 437.9 | actor_loss 0.33674 | energy_loss 27.76248 | reach_loss 5551253.18750 | mean_bound_loss 0.40365 | entropy 2.1768 | gamma_reach 0.999990 | ent_coef 0.00032 | elapsed 28.61s
iter 00137 | success 0.073 | cost 89.5 | energy 347.5 | actor_loss 0.35510 | energy_loss 30.39304 | reach_loss 4161748.78750 | mean_bound_loss 0.42922 | entropy 2.1770 | gamma_reach 0.999990 | ent_coef 0.00032 | elapsed 28.66s
iter 00138 | success 0.079 | cost 86.2 | energy 362.9 | actor_loss 0.36171 | energy_loss 46.42152 | reach_loss 3898867.20625 | mean_bound_loss 0.32334 | entropy 2.1747 | gamma_reach 0.999990 | ent_coef 0.00032 | elapsed 28.55s
iter 00139 | success 0.244 | cost 106.0 | energy 406.4 | actor_loss 0.33324 | energy_loss 46.11569 | reach_loss 3539445.42188 | mean_bound_loss 0.33641 | entropy 2.1736 | gamma_reach 0.999990 | ent_coef 0.00031 | elapsed 28.56s
iter 00140 | success 0.112 | cost 89.1 | energy 352.1 | actor_loss 0.34928 | energy_loss 80.12017 | reach_loss 1501359.20156 | mean_bound_loss 0.56857 | entropy 2.1770 | gamma_reach 0.999990 | ent_coef 0.00030 | elapsed 29.54s
debug 00140 | std_mean 0.5000 | std_min 0.4999 | std_max 0.5000 | done_mean 0.9109 | energy_min_ratio 0.5171 | energy_neg_ratio 0.7840 | e_cons [6.265e+00, 8.000e+00] | first_emin_step 97.06 | act_clip_ratio 0.6787 | act_abs [2.264e+00, 1.738e+01] | act_mean_abs [2.222e+00, 1.684e+01] | act_mean_clip_ratio 0.6736 | clipped_act_abs [8.368e-01, 1.000e+00] | init_energy [-3.994e+02, 2.009e+02, 7.998e+02] | v_reach [-7.310e+03, 2.178e+03] | t_reach [-5.000e+03, 1.187e+03] | reach_clip_ratio 0.0134 | open_ratio 0.0891 | t_done [-3.000e+02, 1.187e+03] | t_open [-5.000e+03, 7.850e+02] | v_open [-6.485e+03, 1.972e+03] | tmin_src done 0 t 199 v -5.273e+03 next_v -5.000e+03 g -3.000e+02 h -3.000e+02 energy -4.000e+02 | adv_total_std 5.827e+02 | adv_open_std 5.037e+02
iter 00141 | success 0.223 | cost 98.2 | energy 369.7 | actor_loss 0.34829 | energy_loss 80.51068 | reach_loss 1413031.59219 | mean_bound_loss 0.44756 | entropy 2.1774 | gamma_reach 0.999990 | ent_coef 0.00030 | elapsed 30.36s
iter 00142 | success 0.182 | cost 109.1 | energy 388.8 | actor_loss 0.34881 | energy_loss 61.23823 | reach_loss 1806254.51875 | mean_bound_loss 0.57472 | entropy 2.1774 | gamma_reach 0.999990 | ent_coef 0.00030 | elapsed 30.55s
iter 00143 | success 0.149 | cost 104.9 | energy 391.6 | actor_loss 0.34486 | energy_loss 75.89343 | reach_loss 1724049.03906 | mean_bound_loss 0.67107 | entropy 2.1774 | gamma_reach 0.999990 | ent_coef 0.00029 | elapsed 29.86s
iter 00144 | success 0.206 | cost 107.5 | energy 401.5 | actor_loss 0.34384 | energy_loss 67.37108 | reach_loss 2654926.39375 | mean_bound_loss 0.75988 | entropy 2.1774 | gamma_reach 0.999990 | ent_coef 0.00028 | elapsed 29.60s
iter 00145 | success 0.074 | cost 94.1 | energy 361.6 | actor_loss 0.34950 | energy_loss 145.95717 | reach_loss 3224981.43438 | mean_bound_loss 0.88776 | entropy 2.1774 | gamma_reach 0.999990 | ent_coef 0.00028 | elapsed 30.10s
iter 00146 | success 0.123 | cost 107.8 | energy 394.9 | actor_loss 0.35431 | energy_loss 141.01272 | reach_loss 3314789.85312 | mean_bound_loss 0.67659 | entropy 2.1774 | gamma_reach 0.999990 | ent_coef 0.00028 | elapsed 29.88s
iter 00147 | success 0.042 | cost 84.0 | energy 236.1 | actor_loss 0.35695 | energy_loss 226.75121 | reach_loss 2625716.26875 | mean_bound_loss 0.86923 | entropy 2.1774 | gamma_reach 0.999990 | ent_coef 0.00027 | elapsed 29.69s
iter 00148 | success 0.134 | cost 123.0 | energy 399.9 | actor_loss 0.32936 | energy_loss 147.28531 | reach_loss 2262144.85938 | mean_bound_loss 0.83311 | entropy 2.1774 | gamma_reach 0.999990 | ent_coef 0.00026 | elapsed 29.63s
iter 00149 | success 0.079 | cost 97.7 | energy 399.0 | actor_loss 0.33384 | energy_loss 239.23308 | reach_loss 2309677.13750 | mean_bound_loss 0.54688 | entropy 2.1763 | gamma_reach 0.999990 | ent_coef 0.00026 | elapsed 28.74s
iter 00150 | success 0.267 | cost 113.7 | energy 446.2 | actor_loss 0.33759 | energy_loss 191.01480 | reach_loss 2794928.04062 | mean_bound_loss 0.45952 | entropy 2.1763 | gamma_reach 0.999990 | ent_coef 0.00026 | elapsed 29.53s
debug 00150 | std_mean 0.5000 | std_min 0.5000 | std_max 0.5000 | done_mean 0.8914 | energy_min_ratio 0.5132 | energy_neg_ratio 0.7803 | e_cons [6.160e+00, 8.000e+00] | first_emin_step 97.85 | act_clip_ratio 0.6615 | act_abs [2.144e+00, 1.381e+01] | act_mean_abs [2.099e+00, 1.282e+01] | act_mean_clip_ratio 0.6508 | clipped_act_abs [8.266e-01, 1.000e+00] | init_energy [-3.999e+02, 1.942e+02, 7.999e+02] | v_reach [-1.077e+04, 1.729e+03] | t_reach [-5.000e+03, 8.709e+02] | reach_clip_ratio 0.0417 | open_ratio 0.1086 | t_done [-3.000e+02, 8.709e+02] | t_open [-5.000e+03, 7.923e+02] | v_open [-1.061e+04, 1.571e+03] | tmin_src done 0 t 199 v -7.022e+03 next_v -5.000e+03 g -3.000e+02 h -3.000e+02 energy -4.000e+02 | adv_total_std 4.581e+02 | adv_open_std 3.446e+02
iter 00151 | success 0.201 | cost 121.0 | energy 456.4 | actor_loss 0.34515 | energy_loss 349.24840 | reach_loss 2352971.12500 | mean_bound_loss 0.73366 | entropy 2.1774 | gamma_reach 0.999990 | ent_coef 0.00025 | elapsed 29.68s
iter 00152 | success 0.209 | cost 119.2 | energy 439.2 | actor_loss 0.31116 | energy_loss 150.28071 | reach_loss 1435269.11875 | mean_bound_loss 0.63300 | entropy 2.1774 | gamma_reach 0.999990 | ent_coef 0.00024 | elapsed 29.62s
iter 00153 | success 0.194 | cost 118.4 | energy 435.6 | actor_loss 0.31889 | energy_loss 42.15212 | reach_loss 1553325.80313 | mean_bound_loss 0.55144 | entropy 2.1760 | gamma_reach 0.999990 | ent_coef 0.00024 | elapsed 29.50s
iter 00154 | success 0.261 | cost 107.7 | energy 427.6 | actor_loss 0.34715 | energy_loss 151.49218 | reach_loss 1707669.58125 | mean_bound_loss 0.39021 | entropy 2.1732 | gamma_reach 0.999990 | ent_coef 0.00023 | elapsed 29.89s
iter 00155 | success 0.272 | cost 112.8 | energy 439.5 | actor_loss 0.34216 | energy_loss 62.32537 | reach_loss 2821965.36250 | mean_bound_loss 0.51300 | entropy 2.1735 | gamma_reach 0.999990 | ent_coef 0.00023 | elapsed 29.41s
iter 00156 | success 0.222 | cost 122.1 | energy 433.3 | actor_loss 0.34272 | energy_loss 67.68017 | reach_loss 1275938.66719 | mean_bound_loss 0.70110 | entropy 2.1716 | gamma_reach 0.999990 | ent_coef 0.00022 | elapsed 29.51s
iter 00157 | success 0.289 | cost 109.3 | energy 423.3 | actor_loss 0.36175 | energy_loss 61.07438 | reach_loss 926912.35703 | mean_bound_loss 0.50220 | entropy 2.1721 | gamma_reach 0.999990 | ent_coef 0.00022 | elapsed 28.95s
iter 00158 | success 0.282 | cost 115.0 | energy 424.7 | actor_loss 0.36928 | energy_loss 43.76276 | reach_loss 1319778.59062 | mean_bound_loss 0.65555 | entropy 2.1719 | gamma_reach 0.999990 | ent_coef 0.00022 | elapsed 29.09s
