iter 00001 | success 0.008 | cost 24.9 | energy 70.7 | actor_loss -0.01872 | energy_loss 372.84265 | reach_loss 83250.88057 | entropy 4.2568 | gamma_reach 0.999000 | ent_coef 0.01000 | elapsed 25.50s
iter 00124 | success 0.009 | cost 29.5 | energy 104.7 | actor_loss -0.06897 | energy_loss 1516.86741 | reach_loss 38808.71523 | entropy 4.2568 | gamma_reach 0.999162 | ent_coef 0.01000 | elapsed 24.51s
iter 00125 | success 0.009 | cost 22.0 | energy 77.9 | actor_loss -0.06724 | energy_loss 1288.01075 | reach_loss 36282.05547 | entropy 4.2568 | gamma_reach 0.999164 | ent_coef 0.01000 | elapsed 24.81s
iter 00126 | success 0.010 | cost 44.0 | energy 152.8 | actor_loss -0.06833 | energy_loss 1292.87405 | reach_loss 36508.82012 | entropy 4.2568 | gamma_reach 0.999165 | ent_coef 0.01000 | elapsed 24.74s
iter 00127 | success 0.008 | cost 30.4 | energy 75.4 | actor_loss -0.06802 | energy_loss 1187.23375 | reach_loss 36896.87412 | entropy 4.2568 | gamma_reach 0.999166 | ent_coef 0.01000 | elapsed 23.97s
iter 00128 | success 0.005 | cost 22.2 | energy 35.3 | actor_loss -0.06694 | energy_loss 1221.34122 | reach_loss 36744.70547 | entropy 4.2568 | gamma_reach 0.999168 | ent_coef 0.01000 | elapsed 24.74s
iter 00129 | success 0.007 | cost 12.2 | energy 43.3 | actor_loss -0.06799 | energy_loss 1360.93902 | reach_loss 37148.53862 | entropy 4.2568 | gamma_reach 0.999169 | ent_coef 0.01000 | elapsed 24.17s
iter 00130 | success 0.009 | cost 18.3 | energy 125.8 | actor_loss -0.06894 | energy_loss 1148.99533 | reach_loss 35958.06880 | entropy 4.2568 | gamma_reach 0.999170 | ent_coef 0.01000 | elapsed 20.93s
iter 00131 | success 0.007 | cost 24.2 | energy 42.6 | actor_loss -0.06856 | energy_loss 1198.47556 | reach_loss 35646.21172 | entropy 4.2568 | gamma_reach 0.999172 | ent_coef 0.01000 | elapsed 24.00s
iter 00132 | success 0.009 | cost 23.4 | energy 56.6 | actor_loss -0.06804 | energy_loss 1090.53187 | reach_loss 35384.16997 | entropy 4.2568 | gamma_reach 0.999173 | ent_coef 0.01000 | elapsed 24.35s
iter 00133 | success 0.007 | cost 15.1 | energy 23.2 | actor_loss -0.06897 | energy_loss 1069.58636 | reach_loss 35557.99575 | entropy 4.2568 | gamma_reach 0.999174 | ent_coef 0.01000 | elapsed 24.05s
iter 00134 | success 0.004 | cost 4.9 | energy 22.0 | actor_loss -0.06750 | energy_loss 1127.01588 | reach_loss 34045.98257 | entropy 4.2568 | gamma_reach 0.999176 | ent_coef 0.01000 | elapsed 24.29s
iter 00135 | success 0.009 | cost 20.2 | energy 70.2 | actor_loss -0.06824 | energy_loss 1155.80341 | reach_loss 35220.60454 | entropy 4.2568 | gamma_reach 0.999177 | ent_coef 0.01000 | elapsed 23.91s
iter 00136 | success 0.009 | cost 27.4 | energy 104.6 | actor_loss -0.06977 | energy_loss 1131.93396 | reach_loss 34019.40513 | entropy 4.2568 | gamma_reach 0.999178 | ent_coef 0.01000 | elapsed 23.59s
iter 00137 | success 0.010 | cost 40.0 | energy 123.4 | actor_loss -0.07008 | energy_loss 1206.06303 | reach_loss 35185.44932 | entropy 4.2568 | gamma_reach 0.999180 | ent_coef 0.01000 | elapsed 24.21s
iter 00138 | success 0.010 | cost 15.1 | energy 49.2 | actor_loss -0.06758 | energy_loss 1317.54398 | reach_loss 33344.27964 | entropy 4.2568 | gamma_reach 0.999181 | ent_coef 0.01000 | elapsed 24.52s
iter 00139 | success 0.008 | cost 36.9 | energy 105.2 | actor_loss -0.06925 | energy_loss 1167.13762 | reach_loss 33487.20537 | entropy 4.2568 | gamma_reach 0.999182 | ent_coef 0.01000 | elapsed 24.51s
iter 00140 | success 0.011 | cost 33.5 | energy 107.2 | actor_loss -0.06792 | energy_loss 1120.27360 | reach_loss 33401.80332 | entropy 4.2568 | gamma_reach 0.999183 | ent_coef 0.01000 | elapsed 24.42s
iter 00141 | success 0.009 | cost 32.2 | energy 79.3 | actor_loss -0.06917 | energy_loss 1073.80928 | reach_loss 33996.75151 | entropy 4.2568 | gamma_reach 0.999185 | ent_coef 0.01000 | elapsed 24.71s
iter 00142 | success 0.007 | cost 38.1 | energy 135.5 | actor_loss -0.06742 | energy_loss 1253.59039 | reach_loss 31276.14180 | entropy 4.2568 | gamma_reach 0.999186 | ent_coef 0.01000 | elapsed 24.06s
iter 00143 | success 0.008 | cost 9.6 | energy 49.0 | actor_loss -0.06823 | energy_loss 1263.72084 | reach_loss 31365.90134 | entropy 4.2568 | gamma_reach 0.999187 | ent_coef 0.01000 | elapsed 23.17s
iter 00144 | success 0.006 | cost 38.8 | energy 103.1 | actor_loss -0.06881 | energy_loss 1223.62088 | reach_loss 31818.81562 | entropy 4.2568 | gamma_reach 0.999189 | ent_coef 0.01000 | elapsed 23.41s
iter 00145 | success 0.009 | cost 33.8 | energy 118.8 | actor_loss -0.06919 | energy_loss 1172.23877 | reach_loss 32027.38550 | entropy 4.2568 | gamma_reach 0.999190 | ent_coef 0.01000 | elapsed 23.40s
iter 00146 | success 0.008 | cost 37.6 | energy 101.7 | actor_loss -0.06922 | energy_loss 1261.30867 | reach_loss 32225.57524 | entropy 4.2568 | gamma_reach 0.999191 | ent_coef 0.01000 | elapsed 23.52s
iter 00147 | success 0.007 | cost 17.1 | energy 47.9 | actor_loss -0.06944 | energy_loss 1226.88910 | reach_loss 31577.25974 | entropy 4.2568 | gamma_reach 0.999193 | ent_coef 0.01000 | elapsed 22.63s
iter 00148 | success 0.010 | cost 24.8 | energy 123.9 | actor_loss -0.06849 | energy_loss 1192.01102 | reach_loss 31559.23767 | entropy 4.2568 | gamma_reach 0.999194 | ent_coef 0.01000 | elapsed 23.53s
